Player,Sponsorship,Industry,Subindustry
Carmelo Anthony,Foot Locker,Retail,"Clothing, Sporting Goods, Online"
Carmelo Anthony,Jordan Brand (Nike),Apparel/Footwear,"Apparel, Footwewar, Accessories"
Carmelo Anthony,Macy's,Retail,"Clothing, Online"
Carmelo Anthony,Nickelodeon,Media,TV Station
Carmelo Anthony,Panini America,Sports Collectibles,
Giannis Antetokounmpo,2K Sports,Entertainment,"Gaming, Leisure"
Giannis Antetokounmpo,BMO Financial Group,Financial Services,Banks
Giannis Antetokounmpo,Harman International (JBL),Consumer Electronics,Audio
Giannis Antetokounmpo,Hulu,Entertainment,TV / Movies
Giannis Antetokounmpo,Nike,Apparel/Footwear,"Apparel, Footwear, Accessories"
Giannis Antetokounmpo,Ready Nutrition,Beverage,Sports Drinks
Giannis Antetokounmpo,T-Mobile,Telecommunications,Wireless
Giannis Antetokounmpo,TCL USA,Entertainment,"TV / Movies, Audio"
Giannis Antetokounmpo,Tissot,Jewlery / Watches,
Giannis Antetokounmpo,Wingstop ,Dining,Quick Service Restaurants
Jaxson Hayes,BDA Sports,Sports Agencies,Sports Marketing
Jalen Brunson,Chipotle Mexican Grill,Dining,"Mexican, Restaurants, Fast Casual"
Jalen Brunson,National Guard,Government Agencies,
Jalen Brunson,Wawa Food Market,Retail,Convenience
Alex Caruso,AT&T,Telecommunications,"Wireless, Cable, Internet"
Alex Caruso,Manscaped,Personal Care,
Alex Caruso,Michelob,Beer / Breweries,Domestic Beer
Victor Oladipo,Beyond Meat,Food,Food Producer
Victor Oladipo,Cytosport (Muscle Milk),Wellness,Supplements
Victor Oladipo,Express,Retail,"Clothing, Online"
Victor Oladipo,Hulu,Entertainment,TV / Movies
Victor Oladipo,Jordan Brand (Nike),Apparel/Footwear,"Apparel, Footwear, Accessories"
Victor Oladipo,Sony Interactive Entertainment (PlayStation),Entertainment,"Gaming, Leisure"
Jusuf Nurkic,Nike,Apparel/Footwear,"Apparel, Footwear, Accessories"
Darius Garland,Klutch Sports Group,Sports Agencies,Talent Representation 
Kristaps Porzingis,Adidas,Apparel/Footwear,"Apparel, Footwear, Accessories"
Kristaps Porzingis,BodyArmor Sports Drink,Beverage,Sports Drinks
Kristaps Porzingis,Delta Air Lines,Airlines,
Kristaps Porzingis,Foot Locker,Retail,"Clothing, Sporting Goods, Online"
Kristaps Porzingis,Harman International (JBL),Consumer Electronics,Audio
Kristaps Porzingis,Shifman Mattresses,Home Décor,
Kristaps Porzingis,Whataburger Restaurants,Dining,Quick Service Restaurants
Bogdan Bogdanović,Wasserman,Sports Agencies,Talent Representation 
Cam Reddish,Octagon,Sports Agencies,Talent Representation 
Jaylen Brown,Adidas,Apparel/Footwear,"Apparel, Footwear, Accessories"
Jaylen Brown,Goodwin Sports Management,Sports Agencies,Talent Representation 
Blake Griffin,Engine Media,Casino/Gambling,Sports Gambling
Blake Griffin,Foot Locker,Retail,"Clothing, Sporting Goods, Online"
Blake Griffin,GameFly,Retail,
Blake Griffin,Google,Technology,"IT Company, Software"
Blake Griffin,Hyperice,Sports Equipment,Player Equipment
Blake Griffin,Jordan Brand (Nike),Apparel/Footwear,"Apparel, Footwear, Accessories"
Blake Griffin,Panini America,Sports Collectibles,
Blake Griffin,PowerBar,Wellness,Supplements
Blake Griffin,Red Bull,Beverage,Energy Drinks
Blake Griffin,Subway Restaurants,Dining,Quick Service Restaurants
Blake Griffin,Vizio,Entertainment,TV / Movies
Caris LeVert,Jordan Brand (Nike),Apparel/Footwear,"Apparel, Footwear, Accessories"
Caris LeVert,Roc Nation Sports,Sports Agencies,Talent Representation 
Iman Shumpert,Independent Sports and Entertainment,Sports Agencies,Talent Representation 
Iman Shumpert,Adidas,Apparel/Footwear,"Apparel, Footwear, Accessories"
James Harden,2K Sports,Entertainment,"Gaming, Leisure"
James Harden,Adidas,Apparel/Footwear,"Apparel, Footwear, Accessories"
James Harden,Art of Sport,Automotive Accessories,
James Harden,Bloomingdale's,Retail,"Clothing, Online"
James Harden,BodyArmor Sports Drink,Beverage,Sports Drinks
James Harden,Ferrara Candy Co.,Desserts,Candy
James Harden,Foot Locker,Retail,"Clothing, Sporting Goods, Online"
James Harden,New Era Cap Co.,Apparel/Footwear,"Headwear, Licensing"
James Harden,Panini America,Sports Collectibles,
James Harden,Papa John's,Dining,Quick Service Restaurants
James Harden,Samsung Electronics,Consumer Electronics,"Cellular, Computer/ Tablet, Television, Audio"
James Harden,Skullcandy,Consumer Electronics,Audio
James Harden,Taco Bell,Dining,Quick Service Restaurants
James Harden,Therabody,Wellness,
LaMarcus Aldridge,H-E-B,Grocery,
LaMarcus Aldridge,Jordan Brand (Nike),Apparel/Footwear,"Apparel, Footwear, Accessories"
LaMarcus Aldridge,Vita Coco,Beverage,Water
Coby White,CAA Sports,Sports Agencies,Talent Representation 
Coby White,AT&T,Telecommunications,"Wireless, Cable, Internet"
Coby White,Adidas,Apparel/Footwear,"Apparel, Footwear, Athletic, Accessories"
Coby White,Express,Retail,"Clothing, Online"
Coby White,Zenni Optical,Apparel/Footwear,Accessories
Matthew Dellavedova,BDA Sports,Sports Agencies,Sports Marketing
Matthew Dellavedova,BMW,Automotive Manufacturer,
Matthew Dellavedova,Peak Sports,Sports Equipment,Player Equipment
Matthew Dellavedova,Spalding,Sports Equipment,Player Equipment
Trey Burke,TLA Worldwide,Sports Agencies,Talent Representation 
Trey Burke,Roc Nation Sports,Sports Agencies,Talent Representation 
Marquese Chriss,Verizon Communications,Telecommunications,"Wireless, Cable, Internet"
Cassius Stanley,Apple,Technology,"Hardware, Software, Developer"
Malcolm Brogdon,Dove for Men,Personal Care,
Montrezl Harrell,Klutch Sports Group,Sports Agencies,Talent Representation 
Montrezl Harrell,Reebok,Apparel/Footwear,"Apparel, Footwear, Accessories"
Montrezl Harrell,YouTube,Entertainment,
Jonas Valančiūnas,CAA Sports,Sports Agencies,Talent Representation 
Jonas Valančiūnas,GoDaddy,Technology,"Business Technology, Consumer Technology"
Jonas Valančiūnas,Sprite,Beverage,Soda
Jontay Porter,Sprint Corp,Telecommunications,Wireless
Khris Middleton,Excel Sports Management,Sports Agencies,Talent Representation 
Khris Middleton,State Farm,Insurance,"Life Insurance, Auto Insurance, Property Insurance"
Juan Hernangómez,Independent Sports and Entertainment,Sports Agencies,Talent Representation 
Lonzo Ball,Amazon,Retail,Online
Lonzo Ball,C4 Energy,Beverage,Energy Drinks
Lonzo Ball,Foot Locker,Retail,"Clothing, Sporting Goods, Online"
Lonzo Ball,Uber,Transportation,Ride Share
Lonzo Ball,Ball Sports Group,Sports Agencies,Talent Representation 
Kevin Knox,Verus Management Team,Sports Agencies,Talent Representation 
Kevin Knox,7X Media,Media,
Kevin Knox,Puma,Apparel/Footwear,"Footwear, Apparel"
RJ Barrett,BDA Sports,Sports Agencies,Talent Representation 
RJ Barrett,Puma,Apparel/Footwear,"Footwear, Apparel"
RJ Barrett,Royal Bank of Canada (RBC),Financial Services,Banks
Aaron Gordon,Serving Athletes with Integrity,Sports Agencies,Talent Representation 
Aaron Gordon,361 Degrees International,Apparel/Footwear,"Apparel, Footwear"
Aaron Gordon,Dove for Men,Personal Care,
Aaron Gordon,Myos Rens Technology,Healthcare / Pharma,Medical Company
Aaron Gordon,Panini America,Sports Collectibles,
R.J. Hampton,Mountain Dew,Beverage,Soda
Terrence Ross,YouTube,Entertainment,
Derrick Jones Jr.,Puma,Apparel/Footwear,"Footwear, Apparel"
Kyle Lowry,Adidas,Apparel/Footwear,"Apparel, Footwear, Athletic, Accessories"
Kyle Lowry,BMO Financial Group,Financial Services,Banks
Kyle Lowry,Peak Sports,Sports Equipment,Player Equipment
Kyle Lowry,Sports Chek,Retail,"Clothing, Online"
Kyle Lowry,TaylorMade Golf,Sports Equipment,Player Equipment
Kyle Lowry,Priority Sports & Entertainment,Business Services,Sports Consulting
Cory Joseph,Hewlett-Packard (HP),Consumer Electronics,Computer / Tablet
DeMarcus Cousins,Airbnb,Lodging,Homestay
DeMarcus Cousins,Foot Locker,Retail,"Clothing, Sporting Goods, Online"
DeMarcus Cousins,Puma,Apparel/Footwear,"Footwear, Apparel"
DeMarcus Cousins,Excel Sports Management,Sports Agencies,Talent Representation 
Jeff Teague,Adidas,Apparel/Footwear,"Apparel, Footwear, Athletic, Accessories"
Jeff Teague,Pepsi,Beverage,Soda
Jeff Teague,ASM Sports,Sports Agencies,Talent Representation 
Jeff Teague,You First Sports,Sports Agencies,Talent Representation 
Moritz Wagner,Roc Nation Sports,Sports Agencies,Talent Representation 
Rudy Gobert,Vivint,Security,
Lou Williams,Peak Sports,Sports Equipment,Player Equipment